Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-12-16,37873,37740,37948,37735,13050,0.26,17.02,12.73,15.27,2019-12-19,"12,259.70","12,223.40","12,268.35","12,191.15",623.05M,0.31%,"41,673.92","41,571.82","41,719.29","41,456.40",33.29M,0.28%
2019-12-13,37776,37512,37810,37400,21940,0.58,16.935,12.65,15.15,2019-12-18,"12,221.65","12,197.00","12,237.70","12,163.45",518.86M,0.47%,"41,558.57","41,442.75","41,614.77","41,358.47",24.27M,0.50%
2019-12-12,37559,37749,38044,37500,22610,-0.36,16.865,12.8,15.15,2019-12-17,"12,165.00","12,082.45","12,182.75","12,070.35",499.59M,0.92%,"41,352.17","41,052.36","41,401.65","41,005.18",18.99M,1.01%
2019-12-11,37693,37602,37741,37554,10900,0.24,16.66,12.67,15.04,2019-12-16,"12,053.95","12,131.35","12,134.65","12,046.30",437.70M,-0.27%,"40,938.72","41,168.85","41,185.03","40,917.93",21.64M,-0.17%
2019-12-10,37604,37604,37728,37550,12400,-0.09,16.675,12.66,15.04,2019-12-13,"12,086.70","12,026.40","12,098.85","12,023.60",597.71M,0.96%,"41,009.71","40,754.82","41,055.80","40,736.70",27.87M,1.05%
2019-12-09,37638,37774,37774,37610,9220,-0.29,16.62,12.61,15.01,2019-12-12,"11,971.80","11,944.30","12,005.50","11,934.00",752.62M,0.52%,"40,581.71","40,561.34","40,712.65","40,490.69",41.32M,0.42%
2019-12-06,37748,38087,38170,37711,16890,-0.91,16.94,12.9,15.27,2019-12-11,"11,910.15","11,867.35","11,923.20","11,832.30",997.65M,0.45%,"40,412.57","40,285.20","40,466.13","40,135.37",55.53M,0.43%
2019-12-05,38095,38245,38245,37800,30,-0.24,16.87,12.84,15.21,2019-12-10,"11,856.80","11,950.50","11,953.20","11,844.70",650.22M,-0.68%,"40,239.88","40,588.81","40,588.81","40,208.70",31.36M,-0.61%
2019-12-04,38188,38563,38563,38081,50,-0.21,17.13,13.12,15.48,2019-12-09,"11,937.50","11,939.10","11,981.95","11,888.05",599.12M,0.13%,"40,487.43","40,527.24","40,645.63","40,336.56",32.55M,0.10%
2019-12-03,38267,37874,38400,37840,150,0.93,17.01,13.09,15.36,2019-12-06,"11,921.50","12,047.35","12,057.05","11,888.85",609.22M,-0.81%,"40,445.15","40,952.13","40,952.13","40,337.53",33.06M,-0.82%
